nohup: ignoring input



 reg_J_flag =  0
<class 'int'>



 does 0 == 0 ?   True



 reg_J_flag =  False
>>> Arguments:
	             algo : fedavg4
	       batch_size : 64
	clients_per_round : 10
	          dataset : mnist_all_data_1_random_niid
	           device : 0
	              dis : 
	       eval_every : 5
	 finetune_dataset : mnist-m
	  finetune_epochs : 100
	      finetune_lr : 0.01
	      finetune_wd : 0.0
	    ft_batch_size : 64
	              gpu : True
	      input_shape : (1, 28, 28)
	        lbd_reg_J : 0.0001
	               lr : 0.01
	            model : LeNet
	        noaverage : False
	          noprint : False
	        num_class : 10
	        num_epoch : 10
	        num_round : 200
	       reg_J_flag : False
	             seed : 25
	               wd : 0.0
>>> Read data from:
     ./data/mnist/data/train/all_data_1_random_niid.pkl
     ./data/mnist/data/test/all_data_1_random_niid.pkl
Training model_flag...
Epoch:001, Trn_loss:0.0017, Trn_acc:0.3839, Tst_loss:0.0070, Tst_acc:0.3884
Epoch:002, Trn_loss:0.0020, Trn_acc:0.3895, Tst_loss:0.0077, Tst_acc:0.3944
Epoch:003, Trn_loss:0.0020, Trn_acc:0.3473, Tst_loss:0.0105, Tst_acc:0.3503
Epoch:004, Trn_loss:0.0022, Trn_acc:0.3808, Tst_loss:0.0077, Tst_acc:0.3888
Epoch:005, Trn_loss:0.0016, Trn_acc:0.3838, Tst_loss:0.0069, Tst_acc:0.3836
Epoch:006, Trn_loss:0.0021, Trn_acc:0.3653, Tst_loss:0.0063, Tst_acc:0.3667
Epoch:007, Trn_loss:0.0017, Trn_acc:0.3890, Tst_loss:0.0079, Tst_acc:0.3960
Epoch:008, Trn_loss:0.0019, Trn_acc:0.3770, Tst_loss:0.0080, Tst_acc:0.3808
Epoch:009, Trn_loss:0.0019, Trn_acc:0.3876, Tst_loss:0.0080, Tst_acc:0.3934
Epoch:010, Trn_loss:0.0019, Trn_acc:0.4017, Tst_loss:0.0063, Tst_acc:0.4028
Epoch:011, Trn_loss:0.0017, Trn_acc:0.3868, Tst_loss:0.0070, Tst_acc:0.3932
Epoch:012, Trn_loss:0.0018, Trn_acc:0.4021, Tst_loss:0.0078, Tst_acc:0.4071
Epoch:013, Trn_loss:0.0018, Trn_acc:0.3765, Tst_loss:0.0094, Tst_acc:0.3804
Epoch:014, Trn_loss:0.0018, Trn_acc:0.3878, Tst_loss:0.0077, Tst_acc:0.3932
Epoch:015, Trn_loss:0.0019, Trn_acc:0.3933, Tst_loss:0.0093, Tst_acc:0.3993
Epoch:016, Trn_loss:0.0019, Trn_acc:0.3945, Tst_loss:0.0095, Tst_acc:0.3956
Epoch:017, Trn_loss:0.0017, Trn_acc:0.3958, Tst_loss:0.0090, Tst_acc:0.4013
Epoch:018, Trn_loss:0.0017, Trn_acc:0.3713, Tst_loss:0.0091, Tst_acc:0.3716
Epoch:019, Trn_loss:0.0017, Trn_acc:0.3887, Tst_loss:0.0081, Tst_acc:0.3926
Epoch:020, Trn_loss:0.0016, Trn_acc:0.3862, Tst_loss:0.0087, Tst_acc:0.3888
Epoch:021, Trn_loss:0.0019, Trn_acc:0.3629, Tst_loss:0.0073, Tst_acc:0.3606
Epoch:022, Trn_loss:0.0018, Trn_acc:0.3774, Tst_loss:0.0082, Tst_acc:0.3802
Epoch:023, Trn_loss:0.0018, Trn_acc:0.3826, Tst_loss:0.0081, Tst_acc:0.3863
Epoch:024, Trn_loss:0.0015, Trn_acc:0.3772, Tst_loss:0.0078, Tst_acc:0.3768
Epoch:025, Trn_loss:0.0017, Trn_acc:0.3912, Tst_loss:0.0085, Tst_acc:0.4004
Epoch:026, Trn_loss:0.0020, Trn_acc:0.3681, Tst_loss:0.0102, Tst_acc:0.3698
Epoch:027, Trn_loss:0.0019, Trn_acc:0.3673, Tst_loss:0.0077, Tst_acc:0.3748
Epoch:028, Trn_loss:0.0018, Trn_acc:0.3910, Tst_loss:0.0089, Tst_acc:0.3940
Epoch:029, Trn_loss:0.0019, Trn_acc:0.3870, Tst_loss:0.0088, Tst_acc:0.3893
Epoch:030, Trn_loss:0.0020, Trn_acc:0.3713, Tst_loss:0.0099, Tst_acc:0.3751
Epoch:031, Trn_loss:0.0018, Trn_acc:0.3947, Tst_loss:0.0069, Tst_acc:0.4011
Epoch:032, Trn_loss:0.0016, Trn_acc:0.3838, Tst_loss:0.0092, Tst_acc:0.3907
Epoch:033, Trn_loss:0.0020, Trn_acc:0.3941, Tst_loss:0.0079, Tst_acc:0.4006
Epoch:034, Trn_loss:0.0017, Trn_acc:0.3965, Tst_loss:0.0082, Tst_acc:0.4001
Epoch:035, Trn_loss:0.0019, Trn_acc:0.3813, Tst_loss:0.0092, Tst_acc:0.3814
Epoch:036, Trn_loss:0.0019, Trn_acc:0.3911, Tst_loss:0.0062, Tst_acc:0.4015
Epoch:037, Trn_loss:0.0014, Trn_acc:0.3757, Tst_loss:0.0089, Tst_acc:0.3816
Epoch:038, Trn_loss:0.0015, Trn_acc:0.3927, Tst_loss:0.0089, Tst_acc:0.3971
Epoch:039, Trn_loss:0.0016, Trn_acc:0.3987, Tst_loss:0.0069, Tst_acc:0.3993
Epoch:040, Trn_loss:0.0016, Trn_acc:0.3974, Tst_loss:0.0070, Tst_acc:0.4034
Epoch:041, Trn_loss:0.0018, Trn_acc:0.3855, Tst_loss:0.0090, Tst_acc:0.3835
Epoch:042, Trn_loss:0.0017, Trn_acc:0.3756, Tst_loss:0.0086, Tst_acc:0.3781
Epoch:043, Trn_loss:0.0019, Trn_acc:0.3876, Tst_loss:0.0091, Tst_acc:0.3902
Epoch:044, Trn_loss:0.0015, Trn_acc:0.3850, Tst_loss:0.0082, Tst_acc:0.3894
Epoch:045, Trn_loss:0.0018, Trn_acc:0.3786, Tst_loss:0.0096, Tst_acc:0.3796
Epoch:046, Trn_loss:0.0016, Trn_acc:0.3753, Tst_loss:0.0081, Tst_acc:0.3777
Epoch:047, Trn_loss:0.0020, Trn_acc:0.3612, Tst_loss:0.0089, Tst_acc:0.3686
Epoch:048, Trn_loss:0.0017, Trn_acc:0.3970, Tst_loss:0.0079, Tst_acc:0.3996
Epoch:049, Trn_loss:0.0020, Trn_acc:0.3592, Tst_loss:0.0099, Tst_acc:0.3617
Epoch:050, Trn_loss:0.0016, Trn_acc:0.4026, Tst_loss:0.0085, Tst_acc:0.4076
Epoch:051, Trn_loss:0.0019, Trn_acc:0.4006, Tst_loss:0.0074, Tst_acc:0.4063
Epoch:052, Trn_loss:0.0017, Trn_acc:0.3545, Tst_loss:0.0090, Tst_acc:0.3543
Epoch:053, Trn_loss:0.0019, Trn_acc:0.3686, Tst_loss:0.0089, Tst_acc:0.3770
Epoch:054, Trn_loss:0.0019, Trn_acc:0.3759, Tst_loss:0.0092, Tst_acc:0.3745
Epoch:055, Trn_loss:0.0018, Trn_acc:0.3996, Tst_loss:0.0060, Tst_acc:0.4028
Epoch:056, Trn_loss:0.0019, Trn_acc:0.3933, Tst_loss:0.0091, Tst_acc:0.3958
Epoch:057, Trn_loss:0.0018, Trn_acc:0.3840, Tst_loss:0.0083, Tst_acc:0.3842
Epoch:058, Trn_loss:0.0018, Trn_acc:0.3849, Tst_loss:0.0090, Tst_acc:0.3851
Epoch:059, Trn_loss:0.0016, Trn_acc:0.3937, Tst_loss:0.0079, Tst_acc:0.4011
